,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
1,80,81,82,81,81,81,80,76,81,80,78,34,29,30,33,52,,,,,19,18,"2024, Q2",6/30/2024 0:00,52,77,0.2416,Public,"A3, HDM A3",Auto,P912386,201330,13
2,80,81,82,81,81,81,80,76,81,80,78,34,29,30,33,52,,,,,19,18,"2024, Q2",6/30/2024 0:00,52,77,0.2416,Public,A3,Auto,P912386,505602,
5,85,84,,73,,86,,85,,62,72,,,54,,,,,,,,-8,"2023, YE",12/31/2023 0:00,54,54,0.1945,FHRx,"A1, GEN 2, HDM A3",Auto,P0,517592,177
9,,23,,,,47,26,27,29,34,43,41,43,38,,,,,,,-5,4,"2023, YE",6/30/2023 0:00,38,48,1.1216,Public,"A1, A3, F2, HDM A3",Auto,P0,16270,155
11,,23,,,,47,26,27,29,34,43,41,43,38,,,,,,,-5,4,"2023, YE",6/30/2023 0:00,38,48,1.1216,Public,A2,Auto,P760171,594030,
14,16,22,25,41,37,51,34,,32,41,,27,,36,37,,,,,,1,,"2024, Q1",3/31/2024 0:00,37,37,1.257,FHRx,A2,Auto,P0,584339,165
15,,23,,,,19,,,,26,26,,18,19,21,23,,,,,2,,"2024, Q2",6/30/2024 0:00,23,23,7.3713,FHRx,A3,Auto,P661635,520873,194
17,,50,,,,55,,,,61,,,,43,,,,83,,,,40,"2024, YE",3/31/2024 0:00,83,83,0.0041,FHRx,"A3, PU, HDM A1",Auto,P557412,14210,
18,,59,,,65,36,,,32,24,22,25,23,31,38,,,,,,7,16,"2024, Q1",3/31/2024 0:00,38,38,1.1216,FHRx,F2,Auto,P882822,110460,163
20,30,37,41,36,51,76,69,70,67,44,48,51,58,59,59,55,50,,,,-5,-8,"2024, Q3",6/30/2024 0:00,50,58,0.3,Public,A3,Auto,P171491,100736,
21,30,37,41,36,51,76,69,70,67,44,48,51,58,59,59,55,50,,,,-5,-8,"2024, Q3",6/30/2024 0:00,50,58,0.3,Public,A3,Auto,P171491,508204,
23,,35,,,33,28,,28,,29,,40,,69,,,,,,,,40,"2023, YE",12/31/2023 0:00,69,69,0.0344,FHRx,A2,Auto,P0,580111,148
27,42,48,50,55,64,63,59,58,54,47,42,34,34,45,44,35,,,,,-9,1,"2024, Q2",6/30/2024 0:00,35,46,1.5853,Public,F2,Auto,P273712,11330,43
25,42,48,50,55,64,63,59,58,54,47,42,34,34,45,44,35,,,,,-9,1,"2024, Q2",6/30/2024 0:00,35,46,1.5853,Public,"F2, HDM F2",Auto,P273712,070920P,
33,41,39,33,32,33,31,31,31,29,30,,,,32,33,33,34,31,32,,1,-1,"2025, Q1",6/30/2024 0:00,32,40,2.2681,Public,"A1, HDM A1",Auto,P230057,11900,
35,83,89,89,88,66,76,68,61,45,31,37,37,50,40,36,34,,,,,-2,-3,"2024, Q2",6/30/2024 0:00,34,36,1.784,Public,F3,Auto,P850824,519912,144
37,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416P,82
39,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416P,82
38,69,56,56,55,53,69,77,81,81,74,70,69,71,79,81,82,83,80,84,,4,3,"2025, Q1",6/30/2024 0:00,84,84,0.0034,Public,F3,Auto,P611169,594416,
41,68,54,40,40,43,70,78,77,72,68,62,60,58,59,65,68,71,71,70,,-1,5,"2025, Q1",6/30/2024 0:00,70,70,0.0303,Public,"A1, A2, A3, F0, F3, PU, HDM F0",Auto,P564815,501121,
43,79,76,82,68,40,51,55,58,57,65,65,58,57,52,34,31,34,44,54,,10,20,"2025, Q1",6/30/2024 0:00,54,54,0.1945,Public,"F3, HDM F3",Auto,P926754,11630,97
52,51,52,52,42,53,50,50,48,49,51,52,54,52,45,44,45,36,42,40,,-2,-4,"2025, Q1",6/30/2024 0:00,40,49,0.8948,Public,"F0, HDM F0",Auto,P851698,11620,56
53,51,52,52,42,53,50,50,48,49,51,52,54,52,45,44,45,36,42,40,,-2,-4,"2025, Q1",6/30/2024 0:00,40,49,0.8948,Public,"A3, F0, HDM F2",Auto,P851698,502542,
56,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,PU,Auto,P634429,580167,8
55,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,PU,Auto,P634429,517082,
54,42,47,53,76,69,59,53,53,56,60,59,58,55,50,52,55,,,,,3,-3,"2024, Q2",6/30/2024 0:00,55,58,0.1744,Public,A1,Auto,P634429,501498,
57,,31,,,,35,,,,26,,,,18,28,,,,,,10,,"2024, Q1",3/31/2024 0:00,28,28,3.7449,FHRx,"A2, A3",Auto,P718396,517527,298
58,,81,,,,76,,,,64,,,,82,,,,,,,,18,"2023, YE",12/31/2023 0:00,82,82,0.0049,FHRx,"A1, HDM F1",Auto,P0,132310,332
59,,,,,,26,,,,27,,,,26,,,,28,,,,2,"2024, YE",3/31/2024 0:00,28,28,3.7449,FHRx,"A1, F0, F2, HDM F1",Auto,P629451,32380,196
62,,90,,,,94,,,,90,,,,91,,,,,,,,1,"2023, YE",9/30/2023 0:00,91,91,0.001,FHRx,A3,Auto,P822452,510145,
70,70,71,71,65,67,70,71,71,73,74,75,73,73,72,72,70,,,,,-2,-3,"2024, Q2",6/30/2024 0:00,70,70,0.0303,Public,F0,Auto,P253306,521439,
74,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,511870,
73,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,022230P,
71,,80,,,,77,,,,80,,,80,81,83,78,78,,,,0,-2,"2024, Q3",6/30/2024 0:00,78,78,0.0097,FHRx,A1,Auto,P970268,22230,
78,83,83,73,80,78,73,68,64,70,66,68,73,78,77,75,80,,,,,5,7,"2024, Q2",6/30/2024 0:00,80,78,0.007,Public,F0,Auto,P117786,42110,77
79,83,83,73,80,78,73,68,64,70,66,68,73,78,77,75,80,,,,,5,7,"2024, Q2",6/30/2024 0:00,80,78,0.007,Public,F2,Auto,P117786,42120,
81,,52,,,,20,,,,19,,21,45,45,69,,,,,,38,,"2024, Q1",3/31/2024 0:00,69,69,0.0344,FHRx,"A1, HDM F1",Auto,P426141,12140,
83,39,51,61,76,83,86,87,87,85,82,73,65,65,59,57,49,,,,,-8,-16,"2024, Q2",6/30/2024 0:00,49,56,0.3343,Public,A2,Auto,P601369,584624P,22
86,21,,,21,,,,,57,62,,,,59,,,,,,,,-3,"2023, YE",12/31/2023 0:00,59,59,0.1121,FHRx,A2,Auto,P601369,584624,248
91,60,53,53,52,53,54,55,55,55,56,52,52,50,38,38,39,39,51,51,,0,13,"2025, Q1",6/30/2024 0:00,51,54,0.2693,Public,A3,Auto,P425596,516892,35
92,,51,31,,,40,31,27,,27,,,,21,11,11,,34,,,,13,"2024, YE",3/31/2024 0:00,34,34,1.784,FHRx,"F3, HDM A1",Auto,P178387,14330,239
94,54,46,37,35,38,41,45,40,38,40,47,56,52,63,68,67,76,73,76,,3,8,"2025, Q1",6/30/2024 0:00,76,82,0.0132,Public,A3,Auto,P488641,521508,131
103,62,36,,56,,58,,,,40,,,,62,,,,,,,,22,"2023, YE",1/1/2024 0:00,62,62,0.0798,FHRx,"A2, HDM A2, HSC",Auto,P0,516282,190
107,,,,,,,,,,69,,,,77,,,,,,,,8,"2023, YE",12/31/2023 0:00,77,77,0.0114,FHRx,"A3, HDM A3",Auto,P0,584350,267
109,,23,,23,,24,26,,,22,21,22,18,17,18,20,,,,,2,-2,"2024, Q2",6/30/2024 0:00,20,20,11.4135,FHRx,"A2, A3",Auto,P547247,583417,172
110,,30,,,,31,,,,27,,,,29,,52,,81,,,,52,"2024, YE",3/31/2024 0:00,81,81,0.0059,FHRx,A2,Auto,P997671,520039,294
111,,,,,,38,,,,25,,,,36,,,,17,,,,-19,"2024, YE",1/31/2024 0:00,17,17,18.111,FHRx,"F0, PU",Auto,P0,513252,207
114,,27,,38,,38,,,,34,43,,,30,38,,,,,,8,-5,"2024, Q1",3/31/2024 0:00,38,39,1.1216,FHRx,HDM A2,Auto,P770732,521737,
112,,27,,38,,38,,,,34,43,,,30,38,,,,,,8,-5,"2024, Q1",3/31/2024 0:00,38,39,1.1216,FHRx,"A2, A3, F2, HDM A2",Auto,P770732,120510,
116,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,"A3, HDM F0",Auto,P778641,142060,9
118,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,A3,Auto,P778641,594151,
115,38,45,52,69,67,62,56,54,58,59,56,60,62,61,65,68,,,,,3,8,"2024, Q2",6/30/2024 0:00,68,69,0.039,Public,"A3, HDM F0",Auto,P778641,132637,
119,,53,,78,,56,,40,,52,,65,,78,,71,,,,,,6,"2024, Q2",6/30/2024 0:00,71,74,0.0266,Public,"A1, A2, A3, HDM A3",Auto,P582708,210550,88
122,,,,,,,,,,32,,,,46,,,,56,,,,10,"2024, YE",3/31/2024 0:00,56,56,0.1563,FHRx,"F2, HDM A2",Auto,P542816,500045,261
125,,,,,,79,,,,72,,61,,65,,,,,,,,-7,"2023, YE",12/31/2023 0:00,65,65,0.0562,FHRx,A3,Auto,P0,579188,219
126,,57,56,54,59,61,65,67,67,65,64,63,62,64,66,68,67,70,70,,0,4,"2025, Q1",6/30/2024 0:00,70,70,0.0303,Public,"A1, HDM F1",Auto,P633880,21340,138
133,43,47,49,52,66,67,65,63,62,54,53,42,42,52,52,47,,,,,,5,"2024, Q2",6/30/2024 0:00,47,47,0.4149,Public,A0,Auto,P615901,90220,15
134,43,47,49,52,66,67,65,63,62,54,53,42,42,52,52,47,,,,,,5,"2024, Q2",6/30/2024 0:00,47,47,0.4149,Public,"F0, F3",Auto,P615901,21360,
137,32,37,36,44,51,59,52,45,38,36,33,32,35,36,35,34,,,,,-1,2,"2024, Q2",6/30/2024 0:00,34,34,1.784,Public,F3,Auto,P464102,40250,90
141,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,510568,
140,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,21877,
142,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,512976,
143,,20,,,,25,26,25,44,69,,,,68,,,,,,,,-1,"2023, YE",12/31/2023 0:00,68,68,0.039,FHRx,A2,Auto,P335091,519645,
148,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248,80
149,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248,80
147,61,51,42,42,47,66,74,77,79,67,65,59,55,54,51,54,,,,,3,-5,"2024, Q2",6/30/2024 0:00,54,54,0.1945,Public,F0,Auto,P445290,595248P,
158,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A1, HDM A1",Auto,P144252,521095,
159,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A2, HDM A1",Auto,P144252,582915,
156,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,"A1, HDM A1",Auto,P144252,512031,
160,,60,,,,28,,,,38,,32,,41,,,,,,,,3,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,A1,Auto,P144252,592683,
162,,69,,80,,72,,,,81,86,,,88,,,,,,,,7,"2023, YE",12/31/2023 0:00,88,88,0.0014,FHRx,"A1, A3",Auto,P0,519326,184
164,,68,,58,,30,,,,44,,,,89,,,,,,,,45,"2023, YE",12/31/2023 0:00,89,89,0.001,FHRx,"A1, HDM A1",Auto,P198856,520243,176
165,82,72,74,79,79,76,77,77,80,80,79,80,83,80,81,82,,,,,1,2,"2024, Q2",6/30/2024 0:00,82,84,0.0049,Public,"A1, HDM F1",Auto,P711122,505724,3
166,82,72,74,79,79,76,77,77,80,80,79,80,83,80,81,82,,,,,1,2,"2024, Q2",6/30/2024 0:00,82,84,0.0049,Public,A1,Auto,P711122,519817,
167,,47,57,,34,40,,,,34,,27,,43,46,,,,,,3,,"2024, Q1",3/31/2024 0:00,46,80,0.4626,FHRx,A3,Auto,P0,511265,178
169,,81,,86,,85,,83,,85,,87,,88,,87,,,,,,0,"2024, Q2",6/30/2024 0:00,87,87,0.0017,Public,F3,Auto,P698046,507231,
171,53,55,60,67,68,67,65,63,66,70,72,72,71,72,71,72,,,,,1,0,"2024, Q2",6/30/2024 0:00,72,73,0.0233,Public,F3,Auto,P679245,21640,
173,37,39,57,59,60,51,36,39,38,35,38,38,37,64,64,62,,,,,-2,24,"2024, Q2",6/30/2024 0:00,62,38,0.0798,Public,F0,Auto,P644770,100380,120
174,,,,,,30,,,,53,,,,50,,,,,,,,-3,"2023, YE",12/31/2023 0:00,50,50,0.3,FHRx,"A3, F2",Auto,P0,516879,
175,,49,,,,66,,,,47,,,,43,,,,,,,,-4,"2023, YE",11/30/2023 0:00,43,43,0.6416,FHRx,A2,Auto,P375711,21320,205
182,,29,,,,38,,,,38,30,49,,47,,,,54,,,,12,"2024, YE",3/31/2024 0:00,54,54,0.1945,FHRx,F3,Auto,P100511,514282,297
180,,29,,,,38,,,,38,30,49,,47,,,,54,,,,12,"2024, YE",3/31/2024 0:00,54,54,0.1945,FHRx,"F3, PU, HDM A2",Auto,P100511,33670,
184,,36,,,,27,32,,,39,38,41,43,38,,50,,,,,,9,"2024, Q2",2/29/2024 0:00,50,50,0.3,FHRx,A2,Auto,P0,516167,195
188,69,69,71,72,71,69,71,70,69,68,70,71,69,64,66,69,,,,,3,-2,"2024, Q2",6/30/2024 0:00,69,72,0.0344,Public,"A3, HDM A3",Auto,P573393,12339,
191,,,,,,42,,,,32,,,,34,,56,,75,,,,41,"2024, YE",3/31/2024 0:00,75,75,0.0153,FHRx,"A1, F3, HDM A1",Auto,P0,33500,226
192,65,66,68,76,91,89,88,87,87,87,88,77,77,83,82,90,,,,,8,13,"2024, Q2",6/30/2024 0:00,90,90,0.001,Public,F0,Auto,P880199,578242P,212
194,38,49,54,52,49,43,52,54,57,31,37,39,27,68,65,66,66,65,67,,2,2,"2025, Q1",6/30/2024 0:00,67,69,0.0441,Public,F2,Auto,P280274,519771,63
195,,,,,,,,,,18,,,,20,20,,,19,,,,-1,"2024, YE",3/31/2024 0:00,19,19,13.2796,FHRx,"F3, HDM F3",Auto,P161394,32924,238
196,50,48,49,53,56,56,57,54,48,38,36,36,36,42,46,37,31,,,,-6,-5,"2024, Q3",6/30/2024 0:00,31,71,2.564,Public,F0,Auto,P968361,580404,149
197,88,91,,,89,90,83,71,88,93,,,,92,,,,,,,,-1,"2023, YE",12/31/2023 0:00,92,92,0.001,FHRx,F0,Auto,P0,581216,223
201,,27,,25,,23,27,32,29,30,,,,58,,63,,,,,,,"2024, Q2",6/30/2024 0:00,63,63,0.0711,FHRx,"A2, HDM A2",Auto,P0,503898,191
204,,47,,,,59,,,,65,72,,,,,,,,,,7,,"2023, Q1",3/31/2023 0:00,72,72,0.0233,FHRx,"A1, HDM F1",Auto,P0,133013,202
207,47,53,62,62,54,53,54,54,54,54,55,58,64,66,66,68,,,,,2,10,"2024, Q2",6/30/2024 0:00,68,68,0.039,Public,F3,Auto,P805922,510977,
208,38,40,,36,,40,,,,40,,40,,41,,,,,,,,1,"2023, YE",12/31/2023 0:00,41,41,0.8004,FHRx,F0,Auto,P768606,583554,170
210,,,,,,,,,,16,,,,20,,24,,57,,,,37,"2024, YE",3/31/2024 0:00,57,57,0.14,FHRx,"F2, HDM F2",Auto,P242219,012373P,305
212,76,74,72,70,72,69,72,72,71,59,59,61,57,55,58,68,69,70,71,,1,13,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,"F2, HDM F2",Auto,P242219,12373,100
211,76,74,72,70,72,69,72,72,71,59,59,61,57,55,58,68,69,70,71,,1,13,"2025, Q1",6/30/2024 0:00,71,71,0.0266,Public,A1,Auto,P242219,505508,
217,,53,,,,49,,,,41,,,,,,,,,,,,-8,"2022, YE",12/31/2022 0:00,41,46,0.8004,FHRx,"F3, HDM F3",Auto,P0,517963,111
218,,66,,,,64,,,,77,,,,73,,,,,,,,-4,"2023, YE",12/31/2023 0:00,73,73,0.0203,FHRx,"A3, HDM A3",Auto,P423034,192757,245
222,30,30,31,61,82,85,88,88,85,77,54,51,54,56,55,50,,,,,-5,-1,"2024, Q2",6/30/2024 0:00,50,53,0.3,Public,"A2, HDM A2",Auto,P350162,61024,
229,,74,,84,,82,,77,,78,,82,,84,,83,,,,,,1,"2024, Q2",6/30/2024 0:00,83,86,0.0041,Public,"F3, PU",Auto,P866838,130790,
239,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,HDM F0,Auto,P966422,194090,19
236,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"F0, F2, F3, HDM F1",Auto,P966422,21450,
234,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"F0, F3, HDM F3",Auto,P966422,90941,
240,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,F3,Auto,P966422,508572,
238,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,"A3, HDM F1",Auto,P966422,160520,
242,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,A1,Auto,P966422,521043,
244,39,39,42,49,58,57,50,42,38,43,40,43,49,52,45,45,,,,,0,2,"2024, Q2",6/30/2024 0:00,45,45,0.5158,Public,A1,Auto,P966422,588700,
245,27,25,25,31,22,20,19,19,20,20,18,15,21,26,23,22,,,,,-1,7,"2024, Q2",6/30/2024 0:00,22,23,8.4984,Public,"A1, F2, F3",Auto,P628779,511652,33
249,,34,,,,52,,,,55,,,,31,,,,,,,,-24,"2023, YE",12/31/2023 0:00,31,31,2.564,FHRx,A1,Auto,P0,519950,325
253,,32,,,,25,,,,23,,21,21,25,,28,26,,,,-2,5,"2024, Q3",3/30/2024 0:00,26,26,4.8748,FHRx,"A2, A3, F2, F3, GEN 2, HDM A3",Auto,P282736,501160,124
256,69,71,75,77,71,71,71,66,79,80,79,80,78,79,78,78,,,,,0,-2,"2024, Q2",6/30/2024 0:00,78,80,0.0097,Public,"F3, HDM F1",Auto,P509543,32590,4
257,18,17,,,41,50,,,,18,,,,38,,65,,,,,,,"2024, Q2",12/30/2023 0:00,65,65,0.0562,FHRx,A1,Auto,P397058,519067,
263,43,38,40,39,40,50,53,55,51,51,49,50,49,42,37,37,37,39,39,,,2,"2025, Q1",6/30/2024 0:00,39,40,1.0013,Public,A1,Auto,P486151,592413P,
264,52,47,35,32,32,44,52,58,58,51,48,40,38,40,43,50,51,53,53,,0,10,"2025, Q1",6/30/2024 0:00,53,53,0.2168,Public,"A1, HDM F1",Auto,P646110,71246,81
265,61,63,58,58,58,60,61,59,50,37,35,36,36,48,51,54,60,56,57,,1,6,"2025, Q1",6/30/2024 0:00,57,57,0.14,Public,"A1, HDM F1",Auto,P589832,519075P,123
266,,83,,,,81,,,,76,,,,86,,,,,,,,10,"2023, YE",12/31/2023 0:00,86,86,0.0022,FHRx,"A1, HDM F1",Auto,P589832,519075,249
267,55,49,51,62,54,52,42,45,42,48,42,49,53,55,53,49,,,,,-4,0,"2024, Q2",6/30/2024 0:00,49,53,0.3343,Public,A1,Auto,P812680,517567,30
270,,,,,,24,,,,24,,,28,22,,20,,,,,,,"2024, Q2",12/30/2023 0:00,20,20,11.4135,FHRx,A2,Auto,P609937,41800,265
272,,37,,,,57,,,,65,,,,87,,,,,,,,22,"2023, YE",9/30/2023 0:00,87,87,0.0017,FHRx,A3,Auto,P850281,517064,199
274,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,"A1, A3, F0, F2, F3, PU, HDM F1",Auto,P825978,140290,44
277,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,HDM F1,Auto,P825978,521475,
276,80,72,49,48,52,74,81,80,77,74,73,75,76,78,80,81,77,76,80,,4,0,"2025, Q1",6/30/2024 0:00,80,79,0.007,Public,F0,Auto,P825978,503064P,
278,,,14,19,19,32,,,19,19,,,,25,31,,,65,,,,40,"2024, YE",3/31/2024 0:00,65,65,0.0562,FHRx,F0,Auto,P825978,503064,316
281,,55,,55,,,,,,58,,,,53,,,,,,,,-5,"2023, YE",12/31/2023 0:00,53,53,0.2168,FHRx,A1,Auto,P938262,41230,
283,24,30,23,22,31,34,,21,,29,,,,24,,24,,22,,,,-2,"2024, YE",3/31/2024 0:00,22,22,8.4984,FHRx,A1,Auto,P0,521081,254
282,31,31,31,31,31,27,30,31,31,36,35,33,33,32,33,33,,,,,0,0,"2024, Q2",6/30/2024 0:00,33,34,2.0101,Public,A1,Auto,P599512,520446,213
286,,18,,,,19,,,,38,,,46,74,,,,,,,28,36,"2023, YE",12/31/2023 0:00,74,74,0.0177,FHRx,A2,Auto,P764247,520426,299
290,,28,,,,28,,,,31,,,,34,,33,,,,,,,"2024, Q2",6/30/2024 0:00,33,42,2.0101,Public,"PU, HDM A1",Auto,P328174,70940,322
